n_estimators,learning_rate,max_depth,subsample,colsample_bytree,reg_lambda,reg_alpha,mse,mae
750,0.01,10,0.6,0.6,0.5,0.5,776188888.025043,15805.892631635274
1500,0.01,10,0.6,0.8,1.0,2.0,776530274.9886838,15941.553844713186
1000,0.05,10,0.6,0.8,2.0,0.0,776741892.2957667,16553.96598084332
750,0.05,10,0.6,0.8,2.0,0.0,776742184.3222905,16555.045336579624
1500,0.05,10,0.6,0.8,2.0,0.0,776754896.5101999,16553.85140196918
750,0.05,8,0.6,0.8,2.0,0.0,776818924.0886388,16239.711178296233
1000,0.05,8,0.6,0.8,2.0,0.0,777048418.3534279,16245.071864297945
1500,0.05,8,0.6,0.8,2.0,0.0,777086943.6852069,16246.40598244863
1500,0.01,10,0.6,0.8,1.0,0.0,777183574.1821064,15963.398477632705
750,0.05,6,0.6,0.6,2.0,0.0,777379286.5013847,16402.30983786387
500,0.05,8,0.6,0.8,2.0,0.0,777491070.8018144,16245.673520440925
1000,0.01,8,0.6,0.6,1.0,0.0,777506241.8147215,15698.726990582192
1000,0.05,10,0.6,0.8,2.0,0.5,778028924.3100824,16520.67365421661
750,0.05,10,0.6,0.8,2.0,0.5,778031218.3838382,16522.957218535958
1500,0.05,10,0.6,0.8,2.0,0.5,778032706.7361175,16520.224943814213
1000,0.05,10,0.6,0.8,2.0,1.0,778397359.3606741,16561.659581014555
1500,0.05,10,0.6,0.8,2.0,1.0,778405802.8640555,16561.32340271832
750,0.05,10,0.6,0.8,2.0,1.0,778427578.3727214,16564.763083261987
1500,0.01,6,0.6,0.8,1.0,0.5,778541503.0749296,15798.500936429795
1500,0.01,6,0.6,0.8,1.0,0.0,778588654.9185486,15798.052881528254
1000,0.01,8,0.6,0.6,1.0,2.0,779158547.7083502,15704.90785530822
750,0.05,8,0.6,0.8,2.0,0.5,779387711.5618272,16258.923359910103
500,0.05,8,0.6,0.8,2.0,0.5,779583317.2636659,16263.085883989726
1000,0.01,8,0.6,0.6,1.0,1.0,779614181.5975089,15717.131340967466
1000,0.05,8,0.6,0.8,2.0,0.5,779626365.76054,16264.662992294521
1500,0.05,8,0.6,0.8,2.0,0.5,779648694.2496552,16265.52565817637
1000,0.01,8,0.6,0.6,1.0,0.5,779892854.074219,15719.307443279109
750,0.05,8,0.6,0.8,2.0,1.0,780096300.4415734,16234.156009203767
500,0.05,8,0.6,0.8,2.0,1.0,780126403.6387565,16228.246602097603
1500,0.05,8,0.6,0.8,2.0,1.0,780156567.4137928,16235.26776541096
1000,0.05,8,0.6,0.8,2.0,1.0,780171753.3431946,16235.078245398116
1000,0.05,6,0.6,0.6,2.0,0.0,780193962.0501547,16470.20783390411
100,0.1,8,0.6,0.6,0.5,0.0,780664141.3898981,16001.245919841609
100,0.1,8,0.6,0.6,0.5,0.5,780665162.6859254,16001.252755779109
100,0.1,8,0.6,0.6,0.5,1.0,780666575.5413206,16001.261999678938
100,0.1,8,0.6,0.6,0.5,2.0,780803058.799807,16002.567249036814
1500,0.01,10,0.6,0.8,0.5,0.0,780852008.943226,15939.38991598887
500,0.05,10,0.6,0.8,2.0,0.0,781085095.6449916,16582.298801369863
500,0.05,10,0.6,0.8,2.0,0.5,781683027.6615556,16541.034152932363
750,0.05,8,0.6,0.8,2.0,2.0,781819408.8000143,16251.500481592466
1500,0.05,6,0.6,0.6,2.0,0.0,781931127.7765055,16517.436456549658
1000,0.05,8,0.6,0.8,2.0,2.0,782245698.5998769,16261.83113495291
1500,0.01,6,0.6,0.8,1.0,2.0,782307473.4386442,15830.462328767124
1500,0.05,8,0.6,0.8,2.0,2.0,782329094.8652873,16264.269504494863
500,0.05,8,0.6,0.8,2.0,2.0,782548706.4318024,16249.890905928938
500,0.05,10,0.6,0.8,2.0,1.0,782661018.6491119,16590.62978916952
1000,0.01,10,0.6,0.8,2.0,2.0,782772078.841715,16017.818921232876
1500,0.01,8,0.6,0.8,1.0,0.0,783887878.2773794,15985.777049443494
1500,0.05,10,0.6,0.8,2.0,2.0,784317326.5483199,16446.416885166953
1000,0.05,10,0.6,0.8,2.0,2.0,784321967.7715507,16446.705024614726
750,0.05,10,0.6,0.8,2.0,2.0,784330695.6210399,16448.84197078339
1500,0.01,6,0.6,0.8,1.0,1.0,784351641.2027968,15851.132598458904
1000,0.01,6,0.6,0.6,2.0,0.0,785281808.4159615,15777.002167166096
1000,0.01,6,0.6,0.6,2.0,0.5,785282087.3518898,15777.004909567637
1000,0.01,6,0.6,0.6,2.0,1.0,785282666.0630115,15777.008039918665
1000,0.01,6,0.6,0.6,2.0,2.0,785283806.3042858,15777.011036494006
1000,0.01,8,0.6,0.8,2.0,2.0,785414088.4275751,16040.603207940925
1500,0.01,8,0.6,0.8,1.0,1.0,785914586.0082508,16021.781343642979
1500,0.01,8,0.6,0.8,1.0,2.0,786930458.0835013,16010.176985231165
1500,0.01,8,0.6,0.8,1.0,0.5,787080451.232034,16020.004936322774
1000,0.01,10,0.6,0.6,2.0,0.5,787491721.604206,15995.220408818494
1500,0.01,10,0.6,0.8,0.5,0.5,788123015.319505,16037.995879708904
500,0.05,10,0.6,0.8,2.0,2.0,788162704.1251013,16470.75113709332
1000,0.01,8,0.6,0.6,2.0,2.0,788231525.4137368,15867.754708904109
1000,0.01,10,0.6,0.6,2.0,0.0,788330409.6746047,16004.031544306506
1000,0.01,8,0.6,0.6,2.0,0.0,788422969.8994899,15886.581563035103
1000,0.01,10,0.6,0.6,2.0,1.0,788504329.0362912,16004.796232876712
1000,0.01,8,0.6,0.6,2.0,0.5,788817904.2056296,15888.957887414384
750,0.01,10,0.6,0.6,1.0,0.5,789015733.3142458,15730.08566994863
1000,0.01,8,0.6,0.6,2.0,1.0,789143602.0762229,15875.796941887842
1500,0.01,10,0.6,0.8,0.5,1.0,789241197.0132525,16013.742508561643
1000,0.01,8,0.6,0.8,2.0,0.5,791033685.8312008,16068.908310145547
750,0.01,10,0.6,0.6,1.0,1.0,791318372.353119,15778.042059075342
1000,0.01,8,0.6,0.8,2.0,0.0,791594321.146842,16080.543329944348
1000,0.01,10,0.6,0.8,2.0,1.0,791691833.9417509,16062.99406035959
1000,0.01,10,0.6,0.6,2.0,2.0,791871268.6663727,15985.95161333476
750,0.01,10,0.6,0.6,1.0,0.0,791924465.4090585,15762.46137895976
1000,0.01,8,0.6,0.8,2.0,1.0,792147039.7481563,16087.71875
1000,0.01,10,0.6,0.8,2.0,0.5,792234682.3559989,16065.656678082192
1000,0.01,10,0.6,0.8,2.0,0.0,792308386.6203381,16068.01242776113
1000,0.01,10,0.6,0.8,0.5,0.0,792902336.1254289,16009.37819723887
1500,0.01,8,0.6,0.8,0.5,0.0,793015059.7411122,15901.386477953767
200,0.1,6,0.6,0.6,0.5,1.0,794207017.103006,16263.767618257705
200,0.1,6,0.6,0.6,0.5,2.0,794773572.0631032,16243.61203713613
500,0.1,8,0.6,0.8,2.0,0.0,795736141.0968503,16191.126030072774
1500,0.1,8,0.6,0.8,2.0,0.0,795772738.4934939,16191.301918343323
1000,0.1,8,0.6,0.8,2.0,0.0,795773153.298701,16191.324178617295
750,0.1,8,0.6,0.8,2.0,0.0,795773398.2042512,16191.48944509846
1000,0.01,6,0.6,0.8,1.0,0.0,796065046.1885898,15891.756407855308
1000,0.01,6,0.6,0.8,1.0,0.5,796065717.880959,15891.760635166953
750,0.01,10,0.6,0.6,1.0,2.0,796069755.1612194,15804.023638163528
1500,0.01,10,0.6,0.8,0.5,2.0,796561116.3221798,16044.565603595891
500,0.1,6,0.6,0.6,0.5,0.5,797205889.6069676,16292.811724101028
750,0.1,6,0.6,0.6,0.5,0.5,797479474.0458921,16296.311857876712
1000,0.1,6,0.6,0.6,0.5,0.5,797726477.8419971,16301.918062392979
1500,0.1,6,0.6,0.6,0.5,0.5,797734479.9214664,16302.202763805652
500,0.1,6,0.6,0.6,0.5,0.0,797909042.0417117,16303.671018835616
1000,0.01,10,0.6,0.8,0.5,0.5,798661545.0012952,16081.190523330479
750,0.1,6,0.6,0.6,0.5,0.0,798999002.7211868,16315.692596853596
1000,0.01,6,0.6,0.8,1.0,2.0,799076460.5516082,15929.32856645976
1000,0.1,6,0.6,0.6,0.5,0.0,799110334.979804,16316.790239726028
1500,0.1,6,0.6,0.6,0.5,0.0,799132366.618474,16316.888926048801
200,0.1,6,0.6,0.6,0.5,0.0,799487678.8790634,16251.983732876712
200,0.1,6,0.6,0.6,0.5,0.5,799487688.1577873,16251.981284781677
1000,0.01,8,0.6,0.8,0.5,0.0,799522233.735627,15939.737465218323
1000,0.01,10,0.6,0.8,0.5,1.0,800025718.6119872,16067.314386237158
1500,0.01,8,0.6,0.8,0.5,2.0,800497431.6746323,15947.218883775686
1500,0.01,8,0.6,0.8,0.5,1.0,800788923.6614935,15916.834853916953
1000,0.01,6,0.6,0.8,1.0,1.0,801086214.4316143,15932.929700877568
500,0.1,8,0.6,0.8,2.0,0.5,801359213.0958982,16320.378397902397
1500,0.1,8,0.6,0.8,2.0,0.5,801405560.7799064,16320.678496896404
1000,0.1,8,0.6,0.8,2.0,0.5,801405933.7321713,16320.687005029966
750,0.1,8,0.6,0.8,2.0,0.5,801406767.8293679,16320.91495879709
1500,0.01,8,0.6,0.8,0.5,0.5,801569679.0820842,15933.108385059932
1500,0.1,6,0.6,0.8,2.0,2.0,802437146.6847513,15780.419038955479
1000,0.1,6,0.6,0.8,2.0,2.0,802474838.210583,15780.839629708904
750,0.1,6,0.6,0.8,2.0,2.0,802531245.945611,15780.699633454624
100,0.1,6,0.6,0.6,0.5,0.0,802611169.6369418,16263.845850278254
100,0.1,6,0.6,0.6,0.5,0.5,802611529.6680192,16263.849636130137
100,0.1,6,0.6,0.6,0.5,1.0,802612296.0920867,16263.84757598459
100,0.1,6,0.6,0.6,0.5,2.0,802613194.5122133,16263.848606057363
500,0.1,8,0.6,0.8,2.0,1.0,802619349.3546298,16311.715485873288
1500,0.1,8,0.6,0.8,2.0,1.0,802646876.5682856,16310.159059289384
1000,0.1,8,0.6,0.8,2.0,1.0,802647212.8966298,16310.167393514555
750,0.1,8,0.6,0.8,2.0,1.0,802648819.4822457,16310.389742080479
500,0.1,6,0.6,0.6,0.5,2.0,802658494.5899026,16476.142925941782
1000,0.01,10,0.6,0.8,1.0,1.0,803139805.516626,16042.48163259846
500,0.1,6,0.6,0.8,2.0,2.0,803149956.8621693,15775.585616438357
500,0.1,8,0.6,0.8,2.0,2.0,803494586.7357649,16289.827188570205
750,0.1,8,0.6,0.8,2.0,2.0,803563500.9606166,16290.652999250857
1500,0.1,8,0.6,0.8,2.0,2.0,803564233.9873446,16290.531704837329
1000,0.1,8,0.6,0.8,2.0,2.0,803564356.15038,16290.545296446919
1000,0.01,10,0.6,0.8,1.0,0.5,803637116.8256775,16044.91574807363
1000,0.01,10,0.6,0.8,1.0,2.0,803822920.5052751,16058.799751177226
200,0.1,8,0.6,0.6,1.0,2.0,804200059.2819914,16563.066887842466
750,0.1,6,0.6,0.6,0.5,2.0,804355816.5810938,16506.98037510702
200,0.1,8,0.6,0.8,2.0,0.0,804682498.6737479,16264.732381742295
750,0.1,6,0.6,0.6,0.5,1.0,804699393.7824981,16530.577295590752
1000,0.1,6,0.6,0.6,0.5,2.0,804722756.0002098,16512.22159942209
1500,0.1,6,0.6,0.6,0.5,2.0,804730118.9048163,16512.28539704623
1000,0.1,6,0.6,0.6,0.5,1.0,804735673.4649202,16532.130190496577
1500,0.1,6,0.6,0.6,0.5,1.0,804748218.4106593,16532.324553189213
1000,0.01,10,0.6,0.8,1.0,0.0,804791478.1592935,16063.589201626712
500,0.1,6,0.6,0.6,0.5,1.0,804906281.270489,16530.90891213613
1000,0.01,8,0.6,0.8,0.5,2.0,805619990.4525278,15976.29331656678
500,0.1,8,0.6,0.6,1.0,2.0,805746106.1201059,16581.741317958047
1000,0.01,8,0.6,0.8,1.0,0.0,805770842.1857467,16055.994020226884
1500,0.1,8,0.6,0.6,1.0,2.0,805810940.6289887,16580.36007063356
1000,0.1,8,0.6,0.6,1.0,2.0,805811094.4977474,16580.356699486303
750,0.1,8,0.6,0.6,1.0,2.0,805812259.0710748,16580.36148865582
200,0.1,6,0.6,0.8,2.0,2.0,806584394.799046,15757.174604023972
500,0.1,8,0.6,0.6,1.0,1.0,806678631.523161,16557.938088613013
750,0.1,8,0.6,0.6,1.0,1.0,806711290.9638373,16557.07155661387
1500,0.1,8,0.6,0.6,1.0,1.0,806714299.7540431,16557.125254173803
1000,0.1,8,0.6,0.6,1.0,1.0,806714394.7097872,16557.122498394692
1000,0.01,8,0.6,0.8,0.5,1.0,806762660.1244756,15956.891173480308
1000,0.01,8,0.6,0.8,0.5,0.5,806834306.1491863,15945.349729773116
750,0.1,6,0.6,0.8,2.0,0.5,807268377.9125025,15557.970823523116
500,0.1,6,0.6,0.8,2.0,0.5,807281907.4297379,15546.03523651541
1500,0.1,6,0.6,0.8,2.0,0.5,807442062.4508905,15563.104599208047
1000,0.1,6,0.6,0.8,2.0,0.5,807486125.493115,15563.2958984375
750,0.1,6,0.6,0.8,2.0,1.0,807857516.6002463,15534.922383347603
500,0.1,6,0.6,0.8,2.0,1.0,807951188.8662736,15536.188623715754
1000,0.1,6,0.6,0.8,2.0,1.0,807971887.8461922,15535.396511130137
200,0.1,8,0.6,0.6,1.0,1.0,808026284.8013375,16566.220555971748
1500,0.1,6,0.6,0.8,2.0,1.0,808036716.3970772,15536.404818600171
1000,0.01,10,0.6,0.8,0.5,2.0,808283367.9367484,16121.431346318494
200,0.1,8,0.6,0.8,2.0,2.0,808303513.8800293,16325.269772046233
1000,0.01,8,0.6,0.8,1.0,1.0,809234573.8677579,16120.206108197774
200,0.1,8,0.6,0.8,2.0,0.5,809258519.36118,16365.319429580479
200,0.1,8,0.6,0.8,2.0,1.0,809259229.870353,16365.312553510274
500,0.05,6,0.6,0.6,2.0,0.5,809269242.8006773,16375.003023330479
1500,0.01,10,0.8,0.6,1.0,0.0,809274094.0353347,16171.445058326199
1500,0.01,10,0.8,0.6,1.0,2.0,809319389.1281096,16211.484776327055
1000,0.01,6,0.6,0.8,2.0,0.0,809332348.3588138,15970.171152611301
1000,0.01,6,0.6,0.8,2.0,2.0,809366192.9830022,15970.873715753425
1000,0.01,6,0.6,0.8,2.0,0.5,809368314.1409554,15970.916590860445
1000,0.01,6,0.6,0.8,2.0,1.0,809368955.4891466,15970.9189453125
750,0.05,6,0.6,0.6,2.0,2.0,809462542.8157301,16474.84143568065
500,0.05,6,0.6,0.6,2.0,1.0,809881611.6119635,16379.837689961472
500,0.05,6,0.6,0.6,2.0,2.0,809883189.9402648,16379.831830586472
1000,0.01,8,0.6,0.8,1.0,0.5,809986552.3728058,16126.306627247432
1000,0.01,8,0.6,0.8,1.0,2.0,810012788.2071362,16113.297075663528
500,0.1,8,0.6,0.6,1.0,0.5,810029121.1175172,16588.765758775684
750,0.1,8,0.6,0.6,1.0,0.5,810035104.1425265,16589.149909032534
1000,0.1,8,0.6,0.6,1.0,0.5,810035982.186888,16589.17277129709
1500,0.1,8,0.6,0.6,1.0,0.5,810036126.5417031,16589.169975385274
200,0.1,6,0.6,0.8,2.0,0.5,810058764.8186532,15633.033430543665
200,0.1,6,0.6,0.8,2.0,1.0,810059395.8536296,15633.032775042808
200,0.1,8,0.6,0.6,1.0,0.5,810072186.1601528,16606.634792380137
1500,0.01,6,0.8,0.6,1.0,2.0,810131559.6728427,15895.02113655822
200,0.1,8,0.6,0.6,1.0,0.0,810378860.189561,16605.057804473458
200,0.1,10,0.6,0.6,0.5,0.0,810413360.7325906,16698.43688463185
